Key|Name|SortName|Dates|SortWithDates|Role|Epoque||
amilcareponchielli|Amilcare Ponchielli|Ponchielli, Amilcare|(1834-1886)|Ponchielli, Amilcare (1834-1886)|Composer|Romantic|Ponchielli|Ponchielli, Amilcare
amner|John Amner|Amner, John|(1579-1641)|Amner, John (1579-1641)|Composer|Baroque|Amner|
amodei|Cataldo Amodei|Amodei, Cataldo|(c1650-c1695)|Amodei, Cataldo (c1650-c1695)|Composer|Baroque|Amodei|
amon|Johann Andreas Amon|Amon, Johann Andreas|(1763-1825)|Amon, Johann Andreas (1763-1825)|Composer|Classical|Amon|
amsterdambachsoloists|Amsterdam Bach Soloists|Amsterdam Bach Soloists|||Orchestra|||
amybeach|Amy Beach|Beach, Amy|(1867-1944)|Beach, Amy (1867-1944)|Composer|Romantic|Beach|Amy Beach (1867-1944)
amygrant|Amy Grant|Grant, Amy||Grant, Amy|Composer||Grant|Grant, Amy
amylee|Amy Lee|Lee, Amy||Lee, Amy|Composer||Lee|Lee, Amy
ananos [es]|Sebastián Ramón de Albero y Añaños [es]|Añaños [es], Sebastián Ramón de Albero y|(1722-1756)|Añaños [es], Sebastián Ramón de Albero y (1722-1756)|Composer|Classical|Añaños [es]|
anastasiaschmidt|Anastasia Schmidt|Schmidt, Anastasia||Schmidt, Anastasia|Composer||Schmidt|Schmidt, Anastasia
anatolylyadov|Anatoly Lyadov|Lyadov, Anatoly|(1855-1914)|Lyadov, Anatoly (1855-1914)|Composer|Romantic|Lyadov|Anatoly Lyadov (1855-1914)
anatolynikolayevichalexandrov|Anatoly Nikolayevich Alexandrov|Alexandrov, Anatoly Nikolayevich||Alexandrov, Anatoly Nikolayevich|Composer||Alexandrov|Alexandrov, Anatoly Nikolayevich
andershøyvikhidle|Anders Høyvik Hidle|Hidle, Anders Høyvik||Hidle, Anders Høyvik|Composer||Hidle|Hidle, Anders Høyvik
andoniosliveralis|Andonios Liveralis|Liveralis, Andonios|(1814-1842)|Liveralis, Andonios (1814-1842)|Composer|Romantic|Liveralis|Andonios Liveralis (1814-1842)
